order_date,reporting_channel,total_orders,first_orders,pct_new_customers
2025-04-28,Referral,3,2,66.67
2025-04-28,Unknown,312,252,80.77
2025-04-29,Affiliate,1,1,100
2025-04-29,Direct,212,187,88.21
2025-04-29,Email,5,3,60
2025-04-29,Google,130,120,92.31
2025-04-29,Influencer,33,30,90.91
2025-04-29,Meta,1,1,100
2025-04-29,Organic Search,8,8,100
2025-04-29,Overall,789,680,86.19
2025-04-29,Unknown,399,330,82.71
2025-04-30,Direct,177,160,90.4
2025-04-30,Email,2,1,50
2025-04-30,Google,129,118,91.47
2025-04-30,Influencer,52,48,92.31
2025-04-30,Meta,1,1,100
2025-04-30,Organic Search,4,3,75
2025-04-30,Organic Social,7,6,85.71
2025-04-30,Overall,725,641,88.41
2025-04-30,Referral,1,1,100
2025-04-30,Unknown,352,303,86.08
